combined_index,endpoint_variant_id,openrouter_model_id,provider_name,endpoint_tag,quantization,provider_error_count,deliberation_score,completed_count,result_rows,schema_violation_count,timeout_count,context_limit_error_count,run_dir
1,openrouter:anthropic/claude-opus-4.6-fast@anthropic#unknown,anthropic/claude-opus-4.6-fast,Anthropic,anthropic,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/01-anthropic-claude-opus-4.6-fast-anthropic-anthropic
2,openrouter:mistralai/devstral-2512@mistral#unknown,mistralai/devstral-2512,Mistral,mistral,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/02-mistralai-devstral-2512-mistral-mistral
3,openrouter:openai/gpt-4o-mini-2024-07-18@openai#unknown,openai/gpt-4o-mini-2024-07-18,OpenAI,openai,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/03-openai-gpt-4o-mini-2024-07-18-openai-openai
6,openrouter:qwen/qwen-plus@alibaba#unknown,qwen/qwen-plus,Alibaba,alibaba,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/06-qwen-qwen-plus-alibaba-alibaba
7,openrouter:arcee-ai/trinity-mini@clarifai/bf16#bf16,arcee-ai/trinity-mini,Clarifai,clarifai/bf16,bf16,0,1.0,60,60,5,0,0,evals/variant-runs/07-arcee-ai-trinity-mini-clarifai-clarifai-bf16
9,openrouter:deepseek/deepseek-v4-flash@gmicloud/fp8#fp8,deepseek/deepseek-v4-flash,GMICloud,gmicloud/fp8,fp8,0,1.0,60,60,1,0,0,evals/variant-runs/09-deepseek-deepseek-v4-flash-gmicloud-gmicloud-fp8
12,openrouter:deepseek/deepseek-v4-flash@alibaba#unknown,deepseek/deepseek-v4-flash,Alibaba,alibaba,unknown,0,1.0,60,60,1,0,0,evals/variant-runs/12-deepseek-deepseek-v4-flash-alibaba-alibaba
13,openrouter:deepseek/deepseek-v4-flash@morph#unknown,deepseek/deepseek-v4-flash,Morph,morph,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/13-deepseek-deepseek-v4-flash-morph-morph
16,openrouter:deepseek/deepseek-v4-flash@atlas-cloud/fp8#fp8,deepseek/deepseek-v4-flash,AtlasCloud,atlas-cloud/fp8,fp8,0,0.9722222222222222,60,60,1,0,0,evals/variant-runs/16-deepseek-deepseek-v4-flash-atlascloud-atlas-cloud-fp8
18,openrouter:deepseek/deepseek-v4-flash@novita/fp8#fp8,deepseek/deepseek-v4-flash,Novita,novita/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/18-deepseek-deepseek-v4-flash-novita-novita-fp8
22,openrouter:google/gemini-2.5-flash-lite@google-vertex#unknown,google/gemini-2.5-flash-lite,Google,google-vertex,unknown,0,0.9166666666666666,60,60,3,0,0,evals/variant-runs/22-google-gemini-2.5-flash-lite-google-google-vertex-unknown
